city,hotel_name,tier,platform,score,nationality,trip_type,room_type,stay_nights,source_file,agoda_agg_score,booking_agg_score,is_asian_reviewer,is_solo,score_gap,nationality_known
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,United States,Business traveler,Unknown,6,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.3,"Hong Kong SAR, China",Family with young children,Unknown,3,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.0,"Hong Kong SAR, China",Family with young children,Unknown,1,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,6.0,Singapore,Business traveler,Unknown,1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,7.7,Malaysia,Couple,Unknown,3,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.3,South Africa,Couple,Unknown,2,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.0,Canada,Solo traveler,Unknown,2,bali_a,9.1,9.6,0.0,1,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,8.7,Indonesia,Group,Unknown,1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,8.0,Saudi Arabia,Family with young children,Unknown,4,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.3,Australia,Couple,Unknown,4,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,7.0,Singapore,Solo traveler,Unknown,2,bali_a,9.1,9.6,1.0,1,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,France,Couple,Unknown,3,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Singapore,Couple,Unknown,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.3,Switzerland,Couple,Unknown,1,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,7.7,Singapore,Couple,Unknown,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.3,United States,Couple,Unknown,2,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.0,Japan,Couple,Unknown,1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.0,Netherlands,Couple,Unknown,1,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.0,Japan,Family with young children,Unknown,2,bali_a,9.1,9.6,1.0,0,-0.5,1
